"area","month","date","threshold","q_common_tail","q_forward_tail","wedge"
"US",109,2020-01-01,4,0.19530028853126,0.211658074832539,0.0163577863012789
"EZ",110,2020-02-01,4,0.149092577195612,0.144298137374107,-0.00479443982150457
"US",110,2020-02-01,4,0.195319675182152,0.219395901375462,0.0240762261933094
"EZ",111,2020-03-01,4,0.111019638597828,0.121832397106215,0.0108127585083865
"US",111,2020-03-01,4,0.136643193669389,0.133657026379534,-0.00298616728985479
"EZ",112,2020-04-01,4,0.0821557811737662,0.0845576458850046,0.00240186471123838
"US",112,2020-04-01,4,0.0899147998254025,0.0837856596374559,-0.00612914018794656
"EZ",113,2020-05-01,4,0.0488373429787976,0.0841840296702828,0.0353466866914852
"US",113,2020-05-01,4,0.130164148592476,0.129052090938523,-0.0011120576539524
"EZ",114,2020-06-01,4,0.100326131836492,0.094649860031118,-0.00567627180537391
"US",114,2020-06-01,4,0.207224432650757,0.213628167997337,0.00640373534658013
"EZ",115,2020-07-01,4,0.127528289497848,0.125599041291326,-0.00192924820652227
"US",115,2020-07-01,4,0.194869869255327,0.206437666364913,0.0115677971095859
"EZ",116,2020-08-01,4,0.123307463707184,0.135460734744342,0.0121532710371576
"US",116,2020-08-01,4,0.2098002518835,0.214562560238294,0.00476230835479393
"EZ",117,2020-09-01,4,0.129133396045074,0.143154720114576,0.0140213240695021
"US",117,2020-09-01,4,0.294053820096613,0.292021990587685,-0.00203182950892829
"EZ",118,2020-10-01,4,0.122418930127501,0.135123699641384,0.0127047695138823
"US",118,2020-10-01,4,0.184593609637496,0.184609341698941,1.57320614441736e-05
"EZ",119,2020-11-01,4,0.129713115025727,0.142654481606673,0.0129413665809461
"US",119,2020-11-01,4,0.193304906530831,0.19484928787414,0.00154438134330901
"EZ",120,2020-12-01,4,0.181577123245518,0.198047516018907,0.0164703927733893
"US",120,2020-12-01,4,0.211059940632325,0.22083032527213,0.00977038463980543
"EZ",121,2021-01-01,4,0.133459668463356,0.130421376628612,-0.00303829183474412
"US",121,2021-01-01,4,0.249497159807838,0.257403970951126,0.00790681114328777
"EZ",122,2021-02-01,4,0.149379930344977,0.156154397562987,0.00677446721801002
"US",122,2021-02-01,4,0.250667361584775,0.259130505108097,0.00846314352332173
"EZ",123,2021-03-01,4,0.125428652579036,0.115732577392514,-0.00969607518652238
"US",123,2021-03-01,4,0.224017874993495,0.250832220300236,0.0268143453067404
